Date,Open,High,Low,Close,Adj Close,Volume
2019-05-20,119.389999,120.370003,116.809998,120.180000,116.085922,2747900
2019-05-21,120.169998,121.320000,119.889999,120.870003,117.732063,1278800
2019-05-22,119.930000,120.709999,118.849998,119.919998,116.806717,1507200
2019-05-23,117.830002,117.830002,112.709999,113.860001,110.904045,3530700
2019-05-24,114.919998,115.629997,112.680000,114.199997,111.235214,1842200
2019-05-28,114.680000,116.389999,113.989998,114.110001,111.147552,1474200
2019-05-29,112.900002,115.070000,112.449997,114.389999,111.420288,985300
2019-05-30,114.589996,115.930000,110.779999,111.430000,108.537125,2040600
2019-05-31,109.470001,109.750000,106.459999,107.330002,104.543579,2892700
2019-06-03,106.620003,106.620003,102.820000,103.570000,100.881187,2661700
2019-06-04,105.220001,112.919998,104.870003,112.870003,109.939743,3236300
2019-06-05,113.599998,114.250000,108.050003,110.459999,107.592308,2106800
2019-06-06,110.230003,111.129997,108.070000,109.980003,107.124779,1589100
2019-06-07,110.379997,113.250000,110.279999,111.019997,108.137764,1545700
2019-06-10,113.080002,118.410004,112.849998,116.669998,113.641083,2718500
2019-06-11,118.190002,119.489998,117.019997,118.150002,115.082672,1954800
2019-06-12,116.849998,116.849998,114.010002,114.739998,111.761200,1091800
2019-06-13,115.349998,117.699997,115.010002,117.209999,114.167076,1619300
2019-06-14,116.779999,116.849998,114.639999,115.610001,112.608612,1525300
2019-06-17,116.199997,116.879997,113.669998,115.680000,112.676796,1037900
2019-06-18,117.639999,122.750000,117.150002,122.000000,118.832718,2536200
2019-06-19,121.989998,122.930000,120.500000,122.320000,119.144409,1582300
2019-06-20,125.750000,127.980003,121.769997,122.449997,119.271034,1379100
2019-06-21,121.559998,123.339996,120.580002,121.500000,118.345695,1431800
2019-06-24,122.820000,123.540001,121.309998,122.019997,118.852196,1255100
2019-06-25,121.699997,121.750000,118.800003,118.959999,115.871635,1922700
2019-06-26,120.559998,122.239998,120.099998,121.260002,118.111931,1638400
2019-06-27,122.370003,124.150002,121.599998,123.949997,120.732086,1339800
2019-06-28,123.599998,124.400002,122.389999,123.989998,120.771049,1848300
2019-07-01,130.389999,134.979996,129.369995,131.250000,127.842575,3571500
2019-07-02,130.009995,133.000000,129.690002,132.970001,129.517929,1429500
2019-07-03,133.320007,134.529999,132.179993,133.380005,129.917282,1154300
2019-07-05,132.779999,133.429993,131.050003,132.809998,129.362076,1144600
2019-07-08,132.160004,133.100006,131.190002,133.059998,129.605576,1215100
2019-07-09,132.250000,134.149994,131.470001,133.729996,130.258179,1734800
2019-07-10,134.550003,135.479996,127.860001,130.339996,126.956200,3005800
2019-07-11,130.600006,132.679993,129.360001,130.649994,127.258148,1817500
2019-07-12,130.850006,134.309998,130.699997,133.889999,130.414047,1689200
2019-07-15,133.929993,137.990005,133.419998,137.770004,134.193298,2650300
2019-07-16,138.000000,141.259995,136.850006,139.339996,135.722534,2256800
2019-07-17,139.250000,139.330002,135.449997,135.889999,132.362106,1295000
2019-07-18,135.440002,135.729996,134.369995,135.089996,131.582886,865700
2019-07-19,135.889999,137.009995,134.570007,134.649994,131.154312,984100
2019-07-22,134.059998,135.160004,132.539993,133.809998,130.336121,1111800
2019-07-23,135.149994,138.559998,134.589996,138.270004,134.680313,1348500
2019-07-24,137.740005,141.289993,136.880005,140.880005,137.222565,1360100
2019-07-25,139.210007,139.669998,137.139999,137.889999,134.310196,1082700
2019-07-26,139.130005,140.339996,138.160004,139.429993,135.810211,909700
2019-07-29,139.309998,139.369995,135.699997,138.270004,134.680313,857900
2019-07-30,136.479996,137.190002,135.000000,135.610001,132.089371,1289800
2019-07-31,135.610001,135.610001,127.260002,130.070007,126.693214,2308800
2019-08-01,129.740005,131.539993,121.059998,122.919998,119.728836,3418000
2019-08-02,121.250000,123.269997,118.250000,119.699997,116.592422,2428000
2019-08-05,114.570000,115.150002,110.260002,111.099998,108.215698,3578000
2019-08-06,112.239998,114.339996,109.459999,111.870003,108.965706,3488600
2019-08-07,108.160004,111.129997,105.199997,109.900002,107.046844,3354700
2019-08-08,110.919998,112.500000,109.629997,111.510002,108.615051,1580300
2019-08-09,110.370003,110.889999,106.550003,108.910004,106.082558,1597700
2019-08-12,107.510002,108.180000,106.550003,107.059998,104.280579,2183400
2019-08-13,106.550003,113.260002,106.550003,108.930000,106.102028,2601600
2019-08-14,106.430000,107.330002,103.550003,104.330002,101.621452,2689100
2019-08-15,104.750000,105.620003,102.029999,102.500000,100.805176,1947800
2019-08-16,104.169998,106.129997,103.500000,105.550003,103.804749,2156400
2019-08-19,109.699997,113.330002,109.489998,112.410004,110.551323,3181800
2019-08-20,111.750000,114.730003,110.669998,114.010002,112.124863,1698500
2019-08-21,115.500000,115.779999,112.750000,113.559998,111.682304,1707600
2019-08-22,114.000000,114.949997,110.040001,110.129997,108.309013,1642700
2019-08-23,108.980003,109.500000,103.699997,105.330002,103.588387,2702500
2019-08-26,107.029999,107.430000,104.879997,105.410004,103.667068,1670300
2019-08-27,106.680000,106.680000,103.910004,104.150002,102.427895,1982500
2019-08-28,103.870003,105.800003,103.000000,105.320000,103.578552,3766300
2019-08-29,107.010002,107.910004,105.459999,106.320000,104.562012,5536700
