Date,Open,High,Low,Close,Adj Close,Volume
2019-05-20,59.650002,59.790001,57.410000,59.220001,55.908100,10406600
2019-05-21,59.599998,59.990002,58.580002,58.680000,55.398300,6494700
2019-05-22,58.459999,59.150002,58.119999,58.590000,55.313332,4724300
2019-05-23,57.759998,57.869999,56.200001,56.970001,53.783932,6210800
2019-05-24,57.389999,58.099998,56.630001,57.430000,54.218201,3831900
2019-05-28,57.630001,58.360001,56.639999,56.840000,53.661201,5587100
2019-05-29,56.180000,57.119999,56.049999,56.660000,53.491268,6489000
2019-05-30,56.759998,57.049999,55.240002,55.540001,52.433907,4286500
2019-05-31,54.959999,55.599998,54.279999,55.000000,51.924107,6388500
2019-06-03,54.500000,54.549999,52.529999,52.939999,49.979309,6238700
2019-06-04,53.549999,55.759998,53.470001,55.619999,52.509426,7773700
2019-06-05,55.720001,55.720001,53.200001,55.070000,51.990189,7353600
2019-06-06,55.240002,55.410000,54.169998,54.619999,51.565353,2432500
2019-06-07,55.110001,56.880001,55.049999,56.080002,52.943707,4350700
2019-06-10,56.880001,58.860001,56.799999,58.130001,54.879055,9808300
2019-06-11,58.799999,59.509998,58.400002,58.689999,55.407738,3880200
2019-06-12,58.160000,58.490002,56.779999,57.040001,53.850018,4446400
2019-06-13,57.549999,57.910000,57.099998,57.320000,54.114357,5654500
2019-06-14,57.320000,57.619999,56.840000,57.279999,54.076595,2058500
2019-06-17,57.529999,57.790001,56.779999,57.060001,53.868900,2938900
2019-06-18,56.849998,59.740002,56.779999,59.480000,56.921692,6488800
2019-06-19,59.500000,59.500000,58.299999,58.980000,56.443195,3386600
2019-06-20,59.709999,60.290001,59.099998,59.430000,56.873844,4085200
2019-06-21,59.029999,59.680000,58.610001,59.230000,56.682446,3810900
2019-06-24,59.189999,59.439999,58.619999,58.750000,56.223087,3580900
2019-06-25,58.779999,58.790001,57.230000,57.400002,54.931156,3299200
2019-06-26,57.950001,58.869999,57.639999,58.680000,56.156101,4219800
2019-06-27,58.759998,58.990002,58.250000,58.779999,56.251801,3627800
2019-06-28,59.130001,59.270000,58.680000,59.090000,56.548462,3969200
2019-07-01,62.209999,62.759998,61.590000,61.970001,59.304592,6075400
2019-07-02,61.599998,62.250000,61.349998,62.130001,59.457710,3682100
2019-07-03,62.320000,62.439999,61.590000,62.220001,59.543842,1303800
2019-07-05,61.740002,62.020000,61.130001,61.840000,59.180183,2300600
2019-07-08,61.400002,62.139999,61.230000,62.020000,59.352444,1768600
2019-07-09,61.770000,63.299999,61.709999,62.900002,60.194595,3757100
2019-07-10,63.180000,63.240002,61.669998,62.250000,59.572548,3413400
2019-07-11,62.500000,63.549999,62.330002,62.599998,59.907494,2573500
2019-07-12,62.660000,63.279999,62.560001,63.230000,60.510399,2052100
2019-07-15,63.400002,63.990002,63.240002,63.959999,61.209000,2459400
2019-07-16,64.150002,64.910004,63.930000,64.730003,61.945889,3041300
2019-07-17,64.790001,64.800003,63.830002,64.190002,61.429111,2005100
2019-07-18,63.950001,64.500000,63.330002,64.330002,61.563087,4728500
2019-07-19,64.550003,64.680000,63.840000,63.919998,61.170719,3545400
2019-07-22,64.239998,64.389999,63.720001,63.990002,61.237713,3053600
2019-07-23,64.389999,65.370003,63.959999,65.220001,62.414810,4122600
2019-07-24,65.000000,65.410004,63.750000,64.930000,62.137280,4054500
2019-07-25,63.299999,63.950001,61.689999,62.650002,59.955349,8474900
2019-07-26,63.099998,63.889999,62.630001,63.160000,60.443413,4191400
2019-07-29,63.000000,63.209999,61.950001,62.360001,59.677822,4087800
2019-07-30,61.880001,61.959999,61.139999,61.400002,58.759113,2749400
2019-07-31,61.189999,61.209999,59.669998,60.439999,57.840401,4696600
